VALUE,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
3204,Western Great Plains Mesquite Shrubland,2111,Tr Western Great Plains Mesquite Woodland and Shrubland,Shrub,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.34902
3213,Quercus havardii Shrubland Alliance,2213,Sh Quercus havardii Shrubland Alliance,Shrub,696,Conifer-Hardwood,Juniper-Oak,SRM 730: Sand Shinnery Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140,47,10,0.54902,0.184314,0.039216
3405,West Gulf Coastal Plain Nepheline Syenite Glade,2405,Tr West Gulf Coastal Plain Nepheline Syenite Glade,Tree,670,Conifer-Hardwood,Glades and Barrens,SRM 732: Cross Timbers-Texas Little Bluestem-Post Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,255,153,0,1,0.6,0
3415,Arkansas Valley Prairie and Woodland,2415,He Arkansas Valley Prairie and Woodland,Herb,688,Grassland,Prairies and Barrens,SRM 732: Cross Timbers-Texas Little Bluestem-Post Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
3383,Edwards Plateau Limestone Woodland,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Tree,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.6
3393,Edwards Plateau Limestone Shrubland,2393,Sh Edwards Plateau Limestone Shrubland,Shrub,696,Conifer-Hardwood,Juniper-Oak,SRM 733: Juniper-Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,34,109,153,0.133333,0.427451,0.6
3410,Llano Uplift Acidic Forest and Woodland,2410,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Tree,670,Conifer-Hardwood,Glades and Barrens,SRM 733: Juniper-Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,34,109,153,0.133333,0.427451,0.6
3523,Edwards Plateau Dry-Mesic Slope Forest and Woodland,2523,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,696,Conifer-Hardwood,Juniper-Oak,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.6
3524,Edwards Plateau Mesic Canyon,2524,Tr Edwards Plateau Mesic Canyon,Tree,605,Hardwood,Bigtooth Maple Woodland,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.6
3558,Edwards Plateau Limestone Grassland,2383,Tr Edwards Plateau Limestone Savanna and Woodland,Herb,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.6
